#NEEM ice core high resolution water isotope record
#Simplified version of the dataset https://doi.org/10.1594/PANGAEA.925552
#published in 
Depth	age_GICC05	age_GICC05_modelext	age_AICC12	GICC05_MCE	d18	dD	1-sigma_of_run_d18	1-sigma_of_run_dD	accuracy_check_offset_d18	accuracy_check_offset_dD
1210.50	8.000220	-999.990000	-999.990000	43.000000	-31.230	-238.59	0.05259	0.18281	-0.01068	-0.03734
1210.55	8.000770	-999.990000	-999.990000	43.000000	-31.723	-242.71	0.05259	0.18281	-0.01068	-0.03734
1210.60	8.001160	-999.990000	-999.990000	43.000000	-33.963	-263.81	0.05259	0.18281	-0.01068	-0.03734
1210.65	8.001440	-999.990000	-999.990000	43.000000	-34.349	-266.37	0.05259	0.18281	-0.01068	-0.03734
1210.70	8.001710	-999.990000	-999.990000	43.000000	-33.315	-256.05	0.05259	0.18281	-0.01068	-0.03734
1210.75	8.001990	-999.990000	-999.990000	43.000000	-33.113	-254.36	0.05259	0.18281	-0.01068	-0.03734
1210.80	8.002480	-999.990000	-999.990000	43.000000	-33.308	-255.71	0.05259	0.18281	-0.01068	-0.03734
1210.85	8.002990	-999.990000	-999.990000	43.000000	-33.849	-261.58	0.05259	0.18281	-0.01068	-0.03734
1210.90	8.003490	-999.990000	-999.990000	43.000000	-33.328	-257.62	0.05259	0.18281	-0.01068	-0.03734
1210.95	8.004000	-999.990000	-999.990000	43.000000	-32.217	-248.05	0.05259	0.18281	-0.01068	-0.03734
1211.00	8.004610	-999.990000	-999.990000	43.000000	-31.209	-238.40	0.05259	0.18281	-0.01068	-0.03734
1211.05	8.005150	-999.990000	-999.990000	43.000000	-32.362	-250.49	0.05259	0.18281	-0.01068	-0.03734
1211.10	8.005590	-999.990000	-999.990000	43.000000	-32.895	-253.88	0.05259	0.18281	-0.01068	-0.03734
1211.15	8.006030	-999.990000	-999.990000	43.000000	-33.478	-258.54	0.05259	0.18281	-0.01068	-0.03734
1211.20	8.006640	-999.990000	-999.990000	43.000000	-33.786	-259.62	0.05259	0.18281	-0.01068	-0.03734
1211.25	8.007150	-999.990000	-999.990000	43.000000	-34.172	-263.36	0.05259	0.18281	-0.01068	-0.03734
